Date,Startup_Name,Sector,City,Funding_Type,Funding_Amount,Education_Background,Age_Group,Professional_Background,Gender_Mix,Initial_Investment,Burn_Rate,Revenue_Model,Customer_Type,City_Tier,Competition_Level,No_of_CoFounders,Status,Survival_Duration_Years
09/01/2020,BYJU’S,E-Tech,Bengaluru,Private Equity Round,"20,00,00,000",IIM,30-39,Engineer,Male-Dominated,3.18,Low,Mixed,Mixed,Tier 3,Low,4,Acquired,10
13/01/2020,Shuttl,Transportation,Gurgaon,Series C,"80,48,394",Stanford,20-29,Engineer,Female-Dominated,4.73,Medium,Mixed,Mixed,Tier 3,Medium,4,Acquired,11
09/01/2020,Mamaearth,E-commerce,Bengaluru,Series B,"1,83,58,860",IIM,30-39,Corporate,Male-Dominated,4.67,Medium,B2C,B2C,Tier 3,Low,4,Failed,1
02/01/2020,https://www.wealthbucket.in/,FinTech,New Delhi,Pre-series A,"30,00,000",Dropout,20-29,Teacher,Male-Dominated,1.23,High,B2C,B2C,Tier 3,Medium,4,Unicorn,9
02/01/2020,Fashor,Fashion and Apparel,Mumbai,Seed Round,"18,00,000",Arts,30-39,Engineer,Male-Dominated,3.77,High,B2C,B2C,Tier 1,Medium,3,Failed,4
13/01/2020,Pando,Logistics,Chennai,Series A,"90,00,000",IIM,20-29,Engineer,Male-Dominated,3.61,Low,B2B,B2B,Tier 2,Medium,3,Unicorn,5
10/01/2020,Zomato,Hospitality,Gurgaon,Private Equity Round,"15,00,00,000",Arts,20-29,Engineer,Male-Dominated,2.94,Low,B2B,B2B,Tier 3,High,4,Acquired,10
12/12/2019,Ecozen,Technology,Pune,Series A,"60,00,000",MBA,20-29,Corporate,Male-Dominated,0.83,Low,B2C,B2C,Tier 2,Medium,3,Unicorn,8
06/12/2019,CarDekho,E-Commerce,Gurgaon,Series D,"7,00,00,000",Dropout,30-39,Corporate,Mixed,1.99,High,B2C,B2C,Tier 3,Medium,5,Active,1
03/12/2019,Dhruva Space,Aerospace,Bengaluru,Seed,"5,00,00,000",MBA,30-39,Engineer,Mixed,2.11,High,B2B,B2B,Tier 3,Low,3,Unicorn,6
13/12/2019,Rivigo,Technology,Gurgaon,Series F,"2,00,00,000",IIT,30-39,Engineer,Mixed,1.43,Medium,B2B,B2B,Tier 3,Low,4,Active,3
17/12/2019,Healthians,B2B-focused foodtech startup,Bengaluru,Series C,"1,20,00,000",MBA,30-39,Entrepreneur,Female-Dominated,3.1,High,Mixed,Mixed,Tier 3,High,5,Active,15
16/12/2019,Licious,E-Commerce,Bengaluru,Series E,"3,00,00,000",IIM,30-39,Engineer,Female-Dominated,3.89,High,B2B,B2B,Tier 3,High,4,Acquired,7
16/12/2019,InCred,Finance,Mumbai,Debt Funding,"59,00,000",Arts,30-39,Consultant,Male-Dominated,4.05,Low,B2C,B2C,Tier 1,High,3,Acquired,9
14/12/2019,Trell,Video,Bengaluru,Seed Round,"20,00,000",Arts,30-39,Entrepreneur,Male-Dominated,0.77,Low,Mixed,Mixed,Tier 3,Medium,2,Active,5
11/12/2019,Rein Games,Gaming,Noida,Seed Round,"5,00,00,000",MBA,20-29,Engineer,Mixed,1.23,Medium,B2B,B2B,Tier 3,Medium,4,Active,3
20/12/2019,Lenskart.com,E-Commerce,Faridabad,Series G,"23,10,00,000",Commerce,30-39,Engineer,Male-Dominated,4.57,Medium,Mixed,Mixed,Tier 3,Medium,4,Unicorn,14
13/11/2019,Freshworks,Software,San Francisco,Series H,"15,00,00,000",MBA,40-49,Consultant,Mixed,2.12,Medium,Mixed,Mixed,Tier 3,High,3,Unicorn,8
14/11/2019,Misters,Health and wellness,Gurgaon,Series B,"4,86,000",IIM,20-29,Consultant,Mixed,0.28,Medium,Mixed,Mixed,Tier 3,High,1,Acquired,3
13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,Seed,"15,00,000",MBA,20-29,Corporate,Male-Dominated,0.28,Low,Mixed,Mixed,Tier 3,Medium,2,Acquired,2
17/11/2019,Burger Singh,Food and Beverage,Gurgaon,Venture,undisclosed,Dropout,20-29,Corporate,Male-Dominated,3.54,Medium,B2C,B2C,Tier 3,Low,2,Unicorn,9
18/11/2019,Healthians,Health and Wellness,Gurgaon,Series B,"1,20,00,000",MBA,30-39,Corporate,Female-Dominated,3.94,Medium,B2C,B2C,Tier 3,High,4,Active,5
15/11/2019,Ninjacart,B2B Marketing,Bengaluru,Debt Funding,"2,60,00,000",IIM,30-39,Corporate,Mixed,0.29,High,B2B,B2B,Tier 3,Low,3,Active,8
20/11/2019,Aye Finance,FinTech,Gurgaon,Debt Funding,"1,74,11,265",IIM,20-29,Entrepreneur,Male-Dominated,2.15,Low,Mixed,Mixed,Tier 3,Low,5,Unicorn,10
12/11/2019,SuperGaming,Video Games,Pune,Seed Funding,"13,00,000",IIM,30-39,Consultant,Mixed,2.09,Low,B2C,B2C,Tier 2,Medium,2,Active,1
